"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YKL194C",215.657095118306,-0.178743406497658,0.0953171390717817,-1.87524938576943,0.0607584229143119,0.124363117982636
"YKR037C",272.365552649833,0.220268668573536,0.0923754332512732,2.38449402423235,0.0171026257693917,0.0428480922372297
"YKL059C",417.031703948831,0.0607554806983673,0.077703572859592,0.781887865158409,0.434280477158445,0.5746566217033
"YKL205W",270.211085438099,-0.382114996728195,0.0951224092482252,-4.01708703288889,5.89219672211793e-05,0.000279229626296175
"YKL137W",189.510459641881,0.0332936061996483,0.101718479671983,0.327311284114862,0.743432458590734,0.830910015962427
"YKR015C",175.971473285355,0.151465108240828,0.10909504364513,1.38837753925395,0.165022112134074,0.2788231304271
"YKL146W",951.47546142274,0.2901327000198,0.0465836518408439,6.22820857864594,4.71798685637947e-10,4.91600729041511e-09
"YKR003W",464.964546467969,-0.0183107269342875,0.0773870011363471,-0.236612437042574,0.812957470792489,0.881847610654414
"YKL028W",697.545946189519,0.0629610442693769,0.0541189076412275,1.16338350150685,0.244673940374341,0.376695561478372
"YKR010C",198.551207827183,-0.068717798833134,0.102178970212316,-0.672523893031475,0.501250234590723,0.633595764225188
"YKL193C",308.597885186943,0.0180449369718075,0.0815828620358547,0.22118538773348,0.824948086408127,0.890286474282704
"tK(CUU)K",1.49564834388899,0.339279884030974,1.18589841820199,0.286095232798586,0.774805182703213,0.853748896327726
"YKL212W",589.499264452064,-0.0911201647838913,0.0582758554638405,-1.56360063801089,0.117911384960396,0.212927536292292
"YKL147C",47.8923613192659,0.622690271265891,0.202762975645632,3.07102551283408,0.00213324922144199,0.00705519387006465
"YKL054C",3667.23255578702,-0.133104427819073,0.0459271515245223,-2.89816423184884,0.00375353980555786,0.0115171815943943
"snR38",2.06591764562614,-0.873530924515231,1.0716641201634,-0.815116329901988,0.415005725112647,0.556112762704619
"YKR096W",991.7552951777,-0.0656127592835759,0.0483414862273417,-1.35727641833374,0.174693397300217,0.29140761667234
"YKL006C-A",115.135586875269,-0.0772106209656223,0.156737344574454,-0.492611516261496,0.622287109284134,0.738152225775056
"YKL164C",2184.62356363897,-0.0744335543740241,0.0592262467982643,-1.25676635609815,0.208838252071939,0.333347760370065
"YKL145W-A",0,NA,NA,NA,NA,NA
"YKL026C",537.110682756153,0.229148066227482,0.0628840965174265,3.64397485084294,0.000268459663363446,0.00110036562456787
"YKL044W",244.723072161269,0.343406770012579,0.0961400759936591,3.5719419447435,0.000354343972169556,0.00142127931064827
"YKL089W",240.453105411585,-0.0767092231522861,0.0990366433825649,-0.774553948238825,0.438603278346077,0.578740866978093
"YKR077W",768.009087456079,0.10774827819197,0.0531229371782183,2.02828164095094,0.0425315116192418,0.0916945813001679
"YKR095W-A",138.847761651333,0.0999644008125874,0.129567076574926,0.771526250766182,0.440395068877113,0.580170709833286
"YKL079W",341.073708131862,-0.0670694417859317,0.0769750579941542,-0.871313949396767,0.383582755966632,0.527597352068269
"YKL161C",493.490048192519,-0.0142686258945062,0.0644426612391138,-0.221415838827056,0.824768660863434,0.890239427420775
"YKL159C",167.086511453206,0.25636202083311,0.121340754897433,2.11274456838354,0.0346226364137665,0.0774141650876259
"YKR030W",228.174762828064,-0.179306454146978,0.104704036395594,-1.71250756245461,0.0868031721543871,0.165862387842523
"YKL037W",13.2353643097046,0.436321489923754,0.402599537162825,1.08376053534133,0.278470987388699,0.414512571279931
"YKL042W",269.234785570996,0.133264713323318,0.090969901039567,1.4649319368321,0.142939488401441,0.249089446153428
"YKR020W",273.307774915788,0.147617682095417,0.0864231101183384,1.70808111271725,0.0876212929408844,0.167133281121815
"YKL012W",676.860761783388,-0.310293776199618,0.0585680413235916,-5.29800500729105,1.17074756943383e-07,8.74923554169822e-07
"YKL106W",371.57106520815,-0.120112630398203,0.0839691469349765,-1.43043766410078,0.152591444797385,0.262903346267629
"YKR075C",542.924024826161,0.409775109811143,0.0617467408131814,6.63638443769759,3.21470750445161e-11,3.78942319859278e-10
"YKR065C",532.176971872278,0.0182418338103786,0.06822310928006,0.26738496680787,0.789172772959786,0.865936439641459
"YKL043W",2243.85122946022,0.453789480039277,0.0315392740754154,14.3880762427884,6.1482388356272e-47,3.12368661462796e-45
"YKL045W",500.026631964294,-0.0999807818177416,0.0691840648927485,-1.4451417674393,0.148418069126114,0.256793037236682
"YKR060W",179.645030127293,-0.37435695567987,0.112609921063419,-3.32436922204255,0.000886187855202896,0.00323930574623524
"YKL085W",1797.53852321757,0.1820289210165,0.0357821404856287,5.08714455161252,3.63494782605111e-07,2.55890956519215e-06
"YKL165C",285.41546680632,-0.227333655744429,0.0915468536675571,-2.48324925037803,0.0130189956652668,0.033832869781982
"YKL003C",243.367405414475,0.239409675194168,0.103443107441931,2.31440915798633,0.0206452890159715,0.0503382530545674
"YKL072W",195.8059985906,-0.336967680111471,0.112549469125806,-2.99395175053926,0.00275389490515016,0.00880870044331584
"YKL177W",1.96384681799992,-1.88222597341389,1.22845710738246,-1.53218697022678,0.125476302941691,0.224201660163534
"YKL186C",564.220957748303,-0.0489050523853865,0.0640365831070639,-0.76370490136273,0.445043119271712,0.584883217105835
"snR64",3.67826632642481,0.864308061874691,0.752670526195641,1.14832191748403,0.250835694377296,0.38365860932294
